IDCLIENTE,SEGMENTO,EDAD,PRODUCTO
2071780,A3,36 A 45 AÑOS,TC
2852116,A2,36 A 45 AÑOS,CTA
2843498,B1,EMPRESA,CTA & TC
4338393,A3,36 A 45 AÑOS,CTA
304808,A3,46 A 65 AÑOS,CTA
297471,A3,46 A 65 AÑOS,CTA & TC
346336,A3,46 A 65 AÑOS,CTA
4098397,B1,EMPRESA,CTA
3354810,A2,36 A 45 AÑOS,CTA
2608256,A3,36 A 45 AÑOS,CTA
1540125,A2,36 A 45 AÑOS,CTA
1773720,A2,36 A 45 AÑOS,CTA
4019003,A3,36 A 45 AÑOS,CTA & TC
3908092,A2,36 A 45 AÑOS,CTA
768391,A1,36 A 45 AÑOS,CTA & TC
2299196,A3,23 A 30 AÑOS,CTA
4231883,A3,31 A 35 AÑOS,CTA
3262028,A2,23 A 30 AÑOS,CTA
3835225,A3,23 A 30 AÑOS,CTA
3519335,A2,23 A 30 AÑOS,CTA
4266918,B1,EMPRESA,CTA
1991900,B1,EMPRESA,CTA
1685399,A3,36 A 45 AÑOS,CTA
1410542,A3,MAYORES A 65 AÑOS,CTA
1594692,A3,MAYORES A 65 AÑOS,TC
1534048,A2,MAYORES A 65 AÑOS,CTA
999714,A2,MAYORES A 65 AÑOS,CTA
1028105,A3,MAYORES A 65 AÑOS,CTA
1564612,A3,MAYORES A 65 AÑOS,CTA
727222,A2,MAYORES A 65 AÑOS,CTA
776348,A2,MAYORES A 65 AÑOS,CTA & TC
2830806,A3,MAYORES A 65 AÑOS,CTA
3794106,A3,OTROS NO IDENTIFICADOS,CTA & TC
581224,A3,OTROS NO IDENTIFICADOS,CTA & TC
11664,A2,OTROS NO IDENTIFICADOS,CTA
985761,P2,EMPRESA,CTA
1755028,P1,EMPRESA,CTA
3354465,P1,EMPRESA,CTA
3170694,P2,EMPRESA,CTA & TC
3326337,P1,EMPRESA,CTA
2928861,A3,46 A 65 AÑOS,CTA
854492,A2,MAYORES A 65 AÑOS,CTA
3457593,A3,1 A 17 AÑOS,CTA
4017214,A1,36 A 45 AÑOS,CTA
280456,A2,46 A 65 AÑOS,CTA
297189,A2,46 A 65 AÑOS,CTA & TC
392396,A3,46 A 65 AÑOS,CTA & TC
2056152,A3,46 A 65 AÑOS,CTA
4094399,A2,MAYORES A 65 AÑOS,CTA
1108503,A3,MAYORES A 65 AÑOS,CTA & TC
797623,A3,46 A 65 AÑOS,CTA
832916,A1,46 A 65 AÑOS,CTA
3700232,E2,EMPRESA,CTA
1293627,E2,EMPRESA,CTA
2765956,A1,MAYORES A 65 AÑOS,CTA
2910301,A2,MAYORES A 65 AÑOS,CTA
133122,A1,MAYORES A 65 AÑOS,CTA & TC
1185592,A3,36 A 45 AÑOS,CTA & TC
1251742,A2,31 A 35 AÑOS,CTA & TC
1616040,A2,31 A 35 AÑOS,CTA & TC
2720299,A2,36 A 45 AÑOS,CTA
3000758,B1,EMPRESA,CTA & TC
3874734,A3,36 A 45 AÑOS,CTA
2594101,A2,36 A 45 AÑOS,CTA & TC
649320,A3,36 A 45 AÑOS,CTA
3212904,A3,46 A 65 AÑOS,CTA & TC
2243805,A3,36 A 45 AÑOS,CTA & TC
569933,B1,EMPRESA,TC
4186999,A3,23 A 30 AÑOS,CTA
4246971,A3,23 A 30 AÑOS,CTA
4208894,A2,23 A 30 AÑOS,CTA
4270922,A3,23 A 30 AÑOS,CTA
4123525,A3,18 A 22 AÑOS,CTA
3468285,A3,23 A 30 AÑOS,CTA
403493,P2,EMPRESA,CTA & TC
766754,P1,EMPRESA,CTA & TC
350405,A2,MAYORES A 65 AÑOS,CTA & TC
465706,B1,EMPRESA,CTA
277829,A2,MAYORES A 65 AÑOS,CTA
4385294,A3,36 A 45 AÑOS,CTA
4188878,A3,23 A 30 AÑOS,CTA
1930767,A3,31 A 35 AÑOS,CTA
52905,A1,46 A 65 AÑOS,CTA & TC
3257683,A1,46 A 65 AÑOS,CTA
3371655,A1,46 A 65 AÑOS,CTA
3149834,A1,MAYORES A 65 AÑOS,CTA & TC
180158,A3,46 A 65 AÑOS,CTA & TC
580179,A3,46 A 65 AÑOS,CTA
3208443,A3,46 A 65 AÑOS,CTA
1400767,A3,36 A 45 AÑOS,CTA
4140183,A3,36 A 45 AÑOS,CTA & TC
4067712,A2,36 A 45 AÑOS,CTA
1818085,A1,36 A 45 AÑOS,CTA & TC
1296549,A2,36 A 45 AÑOS,CTA & TC
1784329,A3,36 A 45 AÑOS,CTA & TC
1490617,A2,36 A 45 AÑOS,CTA
963351,A2,46 A 65 AÑOS,CTA
871711,A1,46 A 65 AÑOS,CTA
986464,A3,46 A 65 AÑOS,CTA
1029152,A3,46 A 65 AÑOS,CTA
952692,A1,36 A 45 AÑOS,CTA
1303186,A1,46 A 65 AÑOS,CTA
834575,A1,36 A 45 AÑOS,CTA
924359,A1,36 A 45 AÑOS,CTA & TC
2849794,A3,46 A 65 AÑOS,CTA
3074863,A2,46 A 65 AÑOS,CTA
387326,A2,46 A 65 AÑOS,CTA
2251128,A2,46 A 65 AÑOS,CTA
449850,P2,EMPRESA,CTA
866000,A1,46 A 65 AÑOS,CTA & TC
2105154,B1,EMPRESA,CTA & TC
1661732,A3,36 A 45 AÑOS,CTA & TC
2897774,A3,36 A 45 AÑOS,CTA
2899050,A2,36 A 45 AÑOS,CTA
1910869,A2,36 A 45 AÑOS,CTA
2381186,B1,EMPRESA,CTA & TC
1918637,A3,36 A 45 AÑOS,CTA & TC
1681011,A3,36 A 45 AÑOS,CTA
1945381,A3,36 A 45 AÑOS,CTA
866483,B1,EMPRESA,CTA
807973,A2,46 A 65 AÑOS,CTA
945955,A3,46 A 65 AÑOS,CTA
720422,A3,46 A 65 AÑOS,CTA
961731,P1,EMPRESA,CTA
684694,A1,46 A 65 AÑOS,CTA
124529,A3,46 A 65 AÑOS,CTA & TC
3933803,A2,31 A 35 AÑOS,CTA
3383640,A3,23 A 30 AÑOS,CTA & TC
2072065,A3,23 A 30 AÑOS,CTA
4213380,B1,EMPRESA,CTA
3947201,A3,18 A 22 AÑOS,CTA
1784673,P2,EMPRESA,CTA & TC
722715,P1,EMPRESA,CTA
709283,P2,EMPRESA,CTA & TC
800596,B1,EMPRESA,CTA
3707309,A3,46 A 65 AÑOS,CTA
816264,A2,46 A 65 AÑOS,CTA
2702099,B1,EMPRESA,CTA
2178022,A2,MAYORES A 65 AÑOS,CTA
1009978,A3,MAYORES A 65 AÑOS,CTA
2590606,A2,MAYORES A 65 AÑOS,CTA
3875454,A3,23 A 30 AÑOS,CTA
647770,A2,MAYORES A 65 AÑOS,CTA & TC
409419,A2,MAYORES A 65 AÑOS,CTA
232838,A2,MAYORES A 65 AÑOS,CTA & TC
271905,A2,MAYORES A 65 AÑOS,CTA & TC
327262,A2,MAYORES A 65 AÑOS,CTA
420439,A3,MAYORES A 65 AÑOS,CTA
333555,A3,MAYORES A 65 AÑOS,CTA
290200,A1,MAYORES A 65 AÑOS,CTA & TC
250528,A1,MAYORES A 65 AÑOS,CTA
254559,A2,MAYORES A 65 AÑOS,CTA
1034872,A3,MAYORES A 65 AÑOS,CTA
4251598,A3,OTROS NO IDENTIFICADOS,CTA
2668702,A3,OTROS NO IDENTIFICADOS,CTA & TC
2640012,A1,46 A 65 AÑOS,CTA & TC
11935,A2,46 A 65 AÑOS,CTA
2479072,A2,46 A 65 AÑOS,CTA
1792078,A1,36 A 45 AÑOS,CTA
3640897,A1,36 A 45 AÑOS,CTA
2150185,A2,36 A 45 AÑOS,CTA & TC
1986656,A3,36 A 45 AÑOS,CTA
83879,A3,36 A 45 AÑOS,TC
754276,A3,36 A 45 AÑOS,CTA & TC
673482,A2,36 A 45 AÑOS,CTA
720114,A3,36 A 45 AÑOS,CTA & TC
2867479,A2,36 A 45 AÑOS,CTA
3376980,A1,36 A 45 AÑOS,CTA & TC
2119783,A3,36 A 45 AÑOS,CTA
848927,A2,36 A 45 AÑOS,CTA
957462,A3,36 A 45 AÑOS,CTA & TC
1209559,A3,31 A 35 AÑOS,CTA
